source,buy_sell,type_market,especs_title,obs,qty,unity_price,operation_price,debit_credit,operation_date,title,tags,ticket
1-BOVESPA,C,FRACIONARIO,AES TIETE EPN N2,-,5,3.15,15.75,D,22-02-2021,AES TIETE E,PN N2,
1-BOVESPA,C,FRACIONARIO,ALUPARPN N2,-,2,8.09,16.18,D,22-02-2021,ALUPAR,PN N2,
1-BOVESPA,C,FRACIONARIO,ALUPARPN N2,-,5,8.09,40.45,D,22-02-2021,ALUPAR,PN N2,
1-BOVESPA,C,FRACIONARIO,ITAUSAPN N1,-,10,9.81,98.1,D,22-02-2021,ITAUSA,PN N1,
1-BOVESPA,C,FRACIONARIO,SANEPARPN N2,-,10,4.18,41.8,D,22-02-2021,SANEPAR,PN N2,
1-BOVESPA,C,FRACIONARIO,AES BRASILON NM,-,5,14.03,70.15,D,31-05-2021,AES BRASIL,ON NM,
1-BOVESPA,C,FRACIONARIO,FLEURYON NM,-,1,26.22,26.22,D,31-05-2021,FLEURY,ON NM,
1-BOVESPA,C,FRACIONARIO,SANEPARPN N2,-,11,4.08,44.88,D,31-05-2021,SANEPAR,PN N2,
1-BOVESPA,C,FRACIONARIO,SANEPARPN N2,-,9,4.08,36.72,D,31-05-2021,SANEPAR,PN N2,
1-BOVESPA,C,FRACIONARIO,SANEPARPN N2,-,2,4.08,8.16,D,31-05-2021,SANEPAR,PN N2,
1-BOVESPA,C,FRACIONARIO,TRAN PAULISTPN N1,-,2,26.54,53.08,D,31-05-2021,TRAN PAULIST,PN N1,
1-BOVESPA,V,VISTA,OION N1,-,100,1.02,102.0,C,02-02-2022,OI,ON N1,
1-BOVESPA,C,VISTA,MAGAZ LUIZAON NM,-,100,4.37,437.0,D,06-05-2022,MAGAZ LUIZA,ON NM,
1-BOVESPA,C,FRACIONARIO,OION N1,-,14,0.78,10.92,D,06-05-2022,OI,ON N1,
1-BOVESPA,C,FRACIONARIO,OION N1,-,56,0.78,43.68,D,06-05-2022,OI,ON N1,
1-BOVESPA,C,FRACIONARIO,TRAN PAULISTPN N1,-,10,24.53,245.3,D,06-05-2022,TRAN PAULIST,PN N1,
1-BOVESPA,C,FRACIONARIO,WEGON NM,-,10,27.31,273.1,D,06-05-2022,WEG,ON NM,
1-BOVESPA,C,VISTA,OION N1,#,100,0.95,95.0,D,07-02-2022,OI,ON N1,
1-BOVESPA,C,FRACIONARIO,MAGAZ LUIZAON NM,-,2,6.55,13.1,D,09-02-2022,MAGAZ LUIZA,ON NM,
1-BOVESPA,C,FRACIONARIO,MELIUZON NM,-,1,2.96,2.96,D,09-02-2022,MELIUZ,ON NM,
1-BOVESPA,C,FRACIONARIO,MAGAZ LUIZAON NM,-,9,6.44,57.96,D,11-02-2022,MAGAZ LUIZA,ON NM,
1-BOVESPA,C,FRACIONARIO,ITAUSAPN EJ N1,#,1,9.5,9.5,D,12-09-2022,ITAUSA,PN EJ N1,
1-BOVESPA,C,FRACIONARIO,MAGAZ LUIZAON NM,-,1,4.62,4.62,D,12-09-2022,MAGAZ LUIZA,ON NM,
1-BOVESPA,C,FRACIONARIO,BRASKEMPNA N1,-,1,44.46,44.46,D,14-04-2022,BRASKEM,PNA N1,
1-BOVESPA,C,VISTA,FII CSHG URBHGRU11CI,-,1,111.92,111.92,D,14-04-2022,FII CSHG URBHGRU11,CI,HGRU11
1-BOVESPA,C,VISTA,FII KINEAKNRI11CI,#,1,136.98,136.98,D,14-04-2022,FII KINEAKNRI11,CI,KNRI11
1-BOVESPA,C,FRACIONARIO,FLEURYON NM,-,1,15.5,15.5,D,14-04-2022,FLEURY,ON NM,
1-BOVESPA,C,FRACIONARIO,FLEURYON NM,-,1,15.5,15.5,D,14-04-2022,FLEURY,ON NM,
1-BOVESPA,C,FRACIONARIO,FLEURYON NM,-,7,15.5,108.5,D,14-04-2022,FLEURY,ON NM,
1-BOVESPA,C,FRACIONARIO,KLABIN S/APN N2,-,13,4.39,57.07,D,14-04-2022,KLABIN S/A,PN N2,
1-BOVESPA,C,FRACIONARIO,MELIUZON NM,-,10,2.11,21.1,D,14-04-2022,MELIUZ,ON NM,
1-BOVESPA,C,FRACIONARIO,OION N1,-,6,0.85,5.1,D,14-04-2022,OI,ON N1,
1-BOVESPA,C,FRACIONARIO,MAGAZ LUIZAON NM,-,10,4.98,49.8,D,15-03-2022,MAGAZ LUIZA,ON NM,
1-BOVESPA,C,FRACIONARIO,MELIUZON NM,-,8,1.98,15.84,D,15-03-2022,MELIUZ,ON NM,
1-BOVESPA,C,FRACIONARIO,MELIUZON NM,-,4,1.98,7.92,D,15-03-2022,MELIUZ,ON NM,
1-BOVESPA,C,FRACIONARIO,OION N1,-,14,0.77,10.78,D,15-03-2022,OI,ON N1,
1-BOVESPA,C,FRACIONARIO,MELIUZON NM,-,5,2.79,13.95,D,16-02-2022,MELIUZ,ON NM,
1-BOVESPA,C,VISTA,NU-NUBANKDR3,-,4,4.5,18.0,D,16-09-2022,NU-NUBANKDR3,,
1-BOVESPA,C,VISTA,OION N1,-,700,0.18,126.0,D,16-11-2022,OI,ON N1,
1-BOVESPA,C,FRACIONARIO,MAGAZ LUIZAON NM,-,3,6.33,18.99,D,17-01-2022,MAGAZ LUIZA,ON NM,
1-BOVESPA,C,FRACIONARIO,MELIUZON NM,-,2,2.69,5.38,D,17-01-2022,MELIUZ,ON NM,
1-BOVESPA,C,VISTA,OION N1,-,100,0.78,78.0,D,17-01-2022,OI,ON N1,
1-BOVESPA,C,FRACIONARIO,MAGAZ LUIZAON NM,-,10,6.73,67.3,D,17-02-2022,MAGAZ LUIZA,ON NM,
1-BOVESPA,C,FRACIONARIO,AES BRASILON NM,-,3,9.63,28.89,D,18-11-2022,AES BRASIL,ON NM,
1-BOVESPA,C,FRACIONARIO,ALUPARPN N2,#,1,8.83,8.83,D,18-11-2022,ALUPAR,PN N2,
1-BOVESPA,C,FRACIONARIO,BRASKEMPNA N1,-,3,29.47,88.41,D,18-11-2022,BRASKEM,PNA N1,
1-BOVESPA,C,FRACIONARIO,ITAUSAPN EB N1,-,9,8.93,80.37,D,18-11-2022,ITAUSAPN EB N1,,
1-BOVESPA,C,FRACIONARIO,TAESAPN EDJ N2,-,2,12.53,25.06,D,18-11-2022,TAESA,PN EDJ N2,
1-BOVESPA,C,FRACIONARIO,TRAN PAULISTPN N1,-,4,22.89,91.56,D,18-11-2022,TRAN PAULIST,PN N1,
1-BOVESPA,C,FRACIONARIO,MAGAZ LUIZAON NM,-,22,3.68,80.96,D,20-05-2022,MAGAZ LUIZA,ON NM,
1-BOVESPA,C,FRACIONARIO,AES BRASILON NM,-,3,10.48,31.44,D,25-07-2022,AES BRASIL,ON NM,
1-BOVESPA,C,VISTA,FII CSHG LOGHGLG11CI,-,1,167.13,167.13,D,25-07-2022,FII CSHG LOGHGLG11,CI,HGLG11
1-BOVESPA,C,FRACIONARIO,FLEURYON NM,-,4,15.02,60.08,D,25-07-2022,FLEURY,ON NM,
1-BOVESPA,C,VISTA,MAGAZ LUIZAON NM,-,100,2.79,279.0,D,25-07-2022,MAGAZ LUIZA,ON NM,
1-BOVESPA,C,FRACIONARIO,NEOENERGIAON NM,-,10,14.75,147.5,D,25-07-2022,NEOENERGIA,ON NM,
1-BOVESPA,C,FRACIONARIO,BRASKEMPNA N1,-,2,38.94,77.88,D,27-06-2022,BRASKEM,PNA N1,
1-BOVESPA,C,VISTA,FII ALIANZAALZR11CI ER,#,2,115.86,231.72,D,27-06-2022,FII ALIANZAALZR11,CI ER,ALZR11
1-BOVESPA,C,VISTA,FII HG REALHGRE11CI,-,1,131.73,131.73,D,27-06-2022,FII HG REALHGRE11,CI,HGRE11
1-BOVESPA,C,VISTA,FII XP MALLSXPML11CI ER,#,1,96.14,96.14,D,27-06-2022,FII XP MALLSXPML11,CI ER,XPML11
1-BOVESPA,C,FRACIONARIO,JHSF PARTON NM,-,10,6.2,62.0,D,27-06-2022,JHSF PART,ON NM,
1-BOVESPA,C,FRACIONARIO,KLABIN S/APN N2,-,1,4.02,4.02,D,27-06-2022,KLABIN S/A,PN N2,
1-BOVESPA,C,FRACIONARIO,MAGAZ LUIZAON NM,-,10,2.5,25.0,D,27-06-2022,MAGAZ LUIZA,ON NM,
1-BOVESPA,C,VISTA,MAGAZ LUIZAON NM,-,100,2.5,250.0,D,27-06-2022,MAGAZ LUIZA,ON NM,
1-BOVESPA,C,VISTA,NU-NUBANKDR3,-,10,3.58,35.8,D,27-06-2022,NU-NUBANKDR3,,
1-BOVESPA,C,VISTA,OION N1,-,100,0.56,56.0,D,27-06-2022,OI,ON N1,
1-BOVESPA,C,FRACIONARIO,SANEPARPN N2,-,19,3.78,71.82,D,27-06-2022,SANEPAR,PN N2,
1-BOVESPA,C,FRACIONARIO,SANEPARPN N2,-,1,3.78,3.78,D,27-06-2022,SANEPAR,PN N2,
